book_authors,book_title,genres,comb
Maggie Stiefvater,shiver,Young Adult Fantasy Romance Fantasy Paranormal Shapeshifters Werewolves,Maggie Stiefvater shiver Young Adult Fantasy Romance Fantasy Paranormal Shapeshifters Werewolves
Shel Silverstein,a light in the attic,Poetry Childrens Classics,Shel Silverstein a light in the attic Poetry Childrens Classics
Corrie ten Boom John Sherrill Elizabeth Sherrill,the hiding place: the triumphant true story of corrie ten boom,Nonfiction Biography History Christian Classics Autobiography Memoir,Corrie ten Boom John Sherrill Elizabeth Sherrill the hiding place: the triumphant true story of corrie ten boom Nonfiction Biography History Christian Classics Autobiography Memoir
Wally Lamb,she's come undone,Fiction Contemporary Womens Fiction Chick Lit,Wally Lamb she's come undone Fiction Contemporary Womens Fiction Chick Lit
Homer Robert Fagles Bernard Knox,the iliad/the odyssey,Classics Fiction Poetry Fantasy Mythology,Homer Robert Fagles Bernard Knox the iliad/the odyssey Classics Fiction Poetry Fantasy Mythology
Franz Kafka Willa Muir Edwin Muir Max Brod,the trial,Classics Fiction Literature Philosophy European Literature German Literature,Franz Kafka Willa Muir Edwin Muir Max Brod the trial Classics Fiction Literature Philosophy European Literature German Literature
Rick Riordan,the lost hero,Fantasy Young Adult Fantasy Mythology,Rick Riordan the lost hero Fantasy Young Adult Fantasy Mythology
Kenneth Grahame Gillian Avery,the wind in the willows,Classics Fiction Childrens Fantasy,Kenneth Grahame Gillian Avery the wind in the willows Classics Fiction Childrens Fantasy
Erin Morgenstern,the night circus,Fantasy Fiction Romance Historical Historical Fiction,Erin Morgenstern the night circus Fantasy Fiction Romance Historical Historical Fiction
Arundhati Roy,the god of small things,Fiction Cultural India Historical Historical Fiction Contemporary,Arundhati Roy the god of small things Fiction Cultural India Historical Historical Fiction Contemporary
C.S. Lewis,the screwtape letters,Fiction Classics Christian Religion Religion Christianity Fantasy,C.S. Lewis the screwtape letters Fiction Classics Christian Religion Religion Christianity Fantasy
John Grogan,marley and me: life and love with the world's worst dog,Nonfiction Animals Autobiography Memoir Animals Dogs Biography,John Grogan marley and me: life and love with the world's worst dog Nonfiction Animals Autobiography Memoir Animals Dogs Biography
Cassandra Clare,clockwork prince,Fantasy Young Adult Romance Fantasy Paranormal Science Fiction Steampunk,Cassandra Clare clockwork prince Fantasy Young Adult Romance Fantasy Paranormal Science Fiction Steampunk
Thomas   Harris,the silence of the lambs,Horror Fiction Thriller Mystery Mystery Crime,Thomas   Harris the silence of the lambs Horror Fiction Thriller Mystery Mystery Crime
Cassandra Clare,city of fallen angels,Fantasy Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy Paranormal Vampires Paranormal Angels Fiction Fantasy Supernatural Fantasy Magic,Cassandra Clare city of fallen angels Fantasy Young Adult Fantasy Paranormal Romance Fantasy Urban Fantasy Paranormal Vampires Paranormal Angels Fiction Fantasy Supernatural Fantasy Magic
Scott Westerfeld,uglies,Young Adult Science Fiction Dystopia Science Fiction,Scott Westerfeld uglies Young Adult Science Fiction Dystopia Science Fiction
Kiera Cass,the selection,Young Adult Romance Science Fiction Dystopia Fantasy,Kiera Cass the selection Young Adult Romance Science Fiction Dystopia Fantasy
Gaston Leroux Alexander Teixeira de Mattos,the phantom of the opera,Classics Fiction Horror Romance,Gaston Leroux Alexander Teixeira de Mattos the phantom of the opera Classics Fiction Horror Romance
P.C. Cast Kristin Cast,marked,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance Fiction Fantasy Supernatural Fantasy Urban Fantasy Romance Paranormal Romance Young Adult Teen,P.C. Cast Kristin Cast marked Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance Fiction Fantasy Supernatural Fantasy Urban Fantasy Romance Paranormal Romance Young Adult Teen
Gail Carson Levine,ella enchanted,Fantasy Young Adult Fiction Romance Fantasy Fairy Tales Childrens,Gail Carson Levine ella enchanted Fantasy Young Adult Fiction Romance Fantasy Fairy Tales Childrens
Haruki Murakami Jay Rubin,the wind-up bird chronicle,Fiction Magical Realism Cultural Japan Asian Literature Japanese Literature Fantasy,Haruki Murakami Jay Rubin the wind-up bird chronicle Fiction Magical Realism Cultural Japan Asian Literature Japanese Literature Fantasy
Viktor E. Frankl Harold S. Kushner William J. Winslade Isle Lasch,man's search for meaning,Nonfiction Psychology Philosophy History Autobiography Memoir Classics,Viktor E. Frankl Harold S. Kushner William J. Winslade Isle Lasch man's search for meaning Nonfiction Psychology Philosophy History Autobiography Memoir Classics
William Faulkner,the sound and the fury,Classics Fiction Literature Literature American,William Faulkner the sound and the fury Classics Fiction Literature Literature American
William Paul Young,the shack,Fiction Christian Fiction Religion Spirituality,William Paul Young the shack Fiction Christian Fiction Religion Spirituality
Hunter S. Thompson Ralph Steadman,fear and loathing in las vegas,Fiction Classics Humor,Hunter S. Thompson Ralph Steadman fear and loathing in las vegas Fiction Classics Humor
José Saramago Giovanni Pontiero,blindness,Fiction Science Fiction Dystopia Science Fiction Literature,José Saramago Giovanni Pontiero blindness Fiction Science Fiction Dystopia Science Fiction Literature
Stephenie Meyer,midnight sun,Young Adult Paranormal Vampires Fantasy Romance Fantasy Paranormal,Stephenie Meyer midnight sun Young Adult Paranormal Vampires Fantasy Romance Fantasy Paranormal
Alex Haley,roots: the saga of an american family,Historical Historical Fiction Fiction Classics Historical,Alex Haley roots: the saga of an american family Historical Historical Fiction Fiction Classics Historical
George R.R. Martin,a clash of kings,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy,George R.R. Martin a clash of kings Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy
Bill Watterson,the complete calvin and hobbes,Sequential Art Comics Humor Sequential Art Graphic Novels Fiction,Bill Watterson the complete calvin and hobbes Sequential Art Comics Humor Sequential Art Graphic Novels Fiction
Robert A. Heinlein,stranger in a strange land,Science Fiction Fiction Classics Science Fiction Fantasy,Robert A. Heinlein stranger in a strange land Science Fiction Fiction Classics Science Fiction Fantasy
Scott O'Dell,island of the blue dolphins,Young Adult Fiction Historical Historical Fiction Classics Childrens,Scott O'Dell island of the blue dolphins Young Adult Fiction Historical Historical Fiction Classics Childrens
Sarah J. Maas,throne of glass,Fantasy Young Adult Romance,Sarah J. Maas throne of glass Fantasy Young Adult Romance
Ernest Hemingway,for whom the bell tolls,Classics Fiction Literature Historical Historical Fiction War,Ernest Hemingway for whom the bell tolls Classics Fiction Literature Historical Historical Fiction War
سید مرتضی مصطفوی,زندگی مه آلود پریا,unknown,سید مرتضی مصطفوی زندگی مه آلود پریا unknown
Mary Ann Shaffer Annie Barrows,the guernsey literary and potato peel pie society,Historical Historical Fiction Fiction Historical Romance War World War II,Mary Ann Shaffer Annie Barrows the guernsey literary and potato peel pie society Historical Historical Fiction Fiction Historical Romance War World War II
Suzanne Collins,catching fire,Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction,Suzanne Collins catching fire Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction
Stephen King,the green mile,Horror Fiction Fantasy Thriller,Stephen King the green mile Horror Fiction Fantasy Thriller
Isabel Allende Magda Bogin,the house of the spirits,Fiction Magical Realism Historical Historical Fiction Classics Fantasy,Isabel Allende Magda Bogin the house of the spirits Fiction Magical Realism Historical Historical Fiction Classics Fantasy
Lauren Oliver,delirium,Young Adult Science Fiction Dystopia Romance,Lauren Oliver delirium Young Adult Science Fiction Dystopia Romance
Stieg Larsson Reg Keeland,the girl who kicked the hornet's nest,Fiction Mystery Thriller Mystery Crime,Stieg Larsson Reg Keeland the girl who kicked the hornet's nest Fiction Mystery Thriller Mystery Crime
Wally Lamb,i know this much is true,Fiction Contemporary Literary Fiction Literature Mental Health Mental Illness Novels Family Adult Fiction Adult Health Mental Health,Wally Lamb i know this much is true Fiction Contemporary Literary Fiction Literature Mental Health Mental Illness Novels Family Adult Fiction Adult Health Mental Health
Janet Fitch,white oleander,Fiction Contemporary Womens Fiction Chick Lit,Janet Fitch white oleander Fiction Contemporary Womens Fiction Chick Lit
Anne Rice,the vampire lestat,Horror Fantasy Paranormal Vampires Fiction Fantasy Paranormal,Anne Rice the vampire lestat Horror Fantasy Paranormal Vampires Fiction Fantasy Paranormal
Jamie McGuire,beautiful disaster,Romance New Adult Contemporary Young Adult Romance Contemporary Romance,Jamie McGuire beautiful disaster Romance New Adult Contemporary Young Adult Romance Contemporary Romance
John Green,paper towns,Young Adult Contemporary Fiction Romance,John Green paper towns Young Adult Contemporary Fiction Romance
William Shakespeare,othello,Classics Plays Drama Fiction Academic School,William Shakespeare othello Classics Plays Drama Fiction Academic School
Christopher Moore,"lamb: the gospel according to biff, christ's childhood pal",Humor Fiction Historical Historical Fiction Fantasy Religion Humor Comedy,"Christopher Moore lamb: the gospel according to biff, christ's childhood pal Humor Fiction Historical Historical Fiction Fantasy Religion Humor Comedy"
T.H. White,the once and future king,Fantasy Classics Fiction Historical Historical Fiction Mythology Arthurian,T.H. White the once and future king Fantasy Classics Fiction Historical Historical Fiction Mythology Arthurian
Ki Longfellow,flow down like silver: hypatia of alexandria,Historical Historical Fiction Northern Africa Egypt Fiction Historical,Ki Longfellow flow down like silver: hypatia of alexandria Historical Historical Fiction Northern Africa Egypt Fiction Historical
Stephen King,misery,Horror Fiction Thriller,Stephen King misery Horror Fiction Thriller
Jon Krakauer,into the wild,Nonfiction Biography Adventure Travel,Jon Krakauer into the wild Nonfiction Biography Adventure Travel
William Shakespeare,king lear,Classics Plays Drama Fiction,William Shakespeare king lear Classics Plays Drama Fiction
Fyodor Dostoyevsky Constance Garnett Alan Myers Joseph Frank Anna Brailovsky,the idiot,Classics Fiction Cultural Russia Literature Russian Literature Literature,Fyodor Dostoyevsky Constance Garnett Alan Myers Joseph Frank Anna Brailovsky the idiot Classics Fiction Cultural Russia Literature Russian Literature Literature
Laurie Halse Anderson,speak,Young Adult Fiction Contemporary Realistic Fiction,Laurie Halse Anderson speak Young Adult Fiction Contemporary Realistic Fiction
Diana Wynne Jones,howl's moving castle,Fantasy Young Adult Fiction Romance Fantasy Magic,Diana Wynne Jones howl's moving castle Fantasy Young Adult Fiction Romance Fantasy Magic
Marissa Meyer,cinder,Young Adult Fantasy Science Fiction Science Fiction Dystopia,Marissa Meyer cinder Young Adult Fantasy Science Fiction Science Fiction Dystopia
Neil Gaiman,neverwhere,Fantasy Fiction Fantasy Urban Fantasy Science Fiction Fantasy,Neil Gaiman neverwhere Fantasy Fiction Fantasy Urban Fantasy Science Fiction Fantasy
Elizabeth Kostova,the historian,Fiction Historical Historical Fiction Fantasy Mystery Historical,Elizabeth Kostova the historian Fiction Historical Historical Fiction Fantasy Mystery Historical
Harriet Beecher Stowe,uncle tom's cabin,Classics Fiction Historical Historical Fiction Literature Historical Literature American Novels Classics Classic Literature Literature 19th Century Cultural African American,Harriet Beecher Stowe uncle tom's cabin Classics Fiction Historical Historical Fiction Literature Historical Literature American Novels Classics Classic Literature Literature 19th Century Cultural African American
Ralph Ellison,invisible man,Classics Fiction Literature Cultural African American,Ralph Ellison invisible man Classics Fiction Literature Cultural African American
Roald Dahl Quentin Blake,james and the giant peach,Childrens Fantasy Fiction Classics,Roald Dahl Quentin Blake james and the giant peach Childrens Fantasy Fiction Classics
Cornelia Funke Anthea Bell,inkheart,Fantasy Young Adult Fiction,Cornelia Funke Anthea Bell inkheart Fantasy Young Adult Fiction
James Herriot,all creatures great and small,Nonfiction Animals Autobiography Memoir Classics Biography,James Herriot all creatures great and small Nonfiction Animals Autobiography Memoir Classics Biography
Walt Whitman,leaves of grass,Poetry Classics Fiction Literature,Walt Whitman leaves of grass Poetry Classics Fiction Literature
Diane Setterfield,the thirteenth tale,Fiction Mystery Historical Historical Fiction Gothic Writing Books About Books,Diane Setterfield the thirteenth tale Fiction Mystery Historical Historical Fiction Gothic Writing Books About Books
Kristin Cashore,graceling,Fantasy Young Adult Romance Fiction,Kristin Cashore graceling Fantasy Young Adult Romance Fiction
Voltaire,candide,Classics Fiction Philosophy Cultural France Literature,Voltaire candide Classics Fiction Philosophy Cultural France Literature
John Irving,the cider house rules,Fiction Historical Historical Fiction Classics Literature,John Irving the cider house rules Fiction Historical Historical Fiction Classics Literature
John Milton John      Leonard,paradise lost,Classics Poetry Fiction Literature Religion,John Milton John      Leonard paradise lost Classics Poetry Fiction Literature Religion
Tim O'Brien,the things they carried,Fiction Historical Historical Fiction War Classics Short Stories,Tim O'Brien the things they carried Fiction Historical Historical Fiction War Classics Short Stories
Stephen King,different seasons,Horror Fiction Short Stories Thriller,Stephen King different seasons Horror Fiction Short Stories Thriller
Wilson Rawls,where the red fern grows,Classics Fiction Young Adult Childrens,Wilson Rawls where the red fern grows Classics Fiction Young Adult Childrens
William Shakespeare,the complete works,Classics Poetry Plays Fiction,William Shakespeare the complete works Classics Poetry Plays Fiction
Arthur Conan Doyle,"the complete sherlock holmes, vol 1",Classics Mystery Fiction Mystery Crime,"Arthur Conan Doyle the complete sherlock holmes, vol 1 Classics Mystery Fiction Mystery Crime"
Johanna Spyri Beverly Cleary Angelo  Rinaldi,heidi,Classics Childrens Fiction,Johanna Spyri Beverly Cleary Angelo  Rinaldi heidi Classics Childrens Fiction
Isaac Asimov,foundation,Science Fiction Fiction Classics,Isaac Asimov foundation Science Fiction Fiction Classics
Judy Blume,"are you there god? it's me, margaret",Young Adult Fiction Childrens Classics,"Judy Blume are you there god? it's me, margaret Young Adult Fiction Childrens Classics"
Henry David Thoreau,walden,Classics Nonfiction Philosophy Environment Nature,Henry David Thoreau walden Classics Nonfiction Philosophy Environment Nature
Kate Chopin,the awakening,Classics Fiction Feminism Academic School Literature,Kate Chopin the awakening Classics Fiction Feminism Academic School Literature
H.G. Wells Greg Bear Carlo Pagetti,the time machine,Classics Science Fiction Fiction Science Fiction Time Travel Fantasy,H.G. Wells Greg Bear Carlo Pagetti the time machine Classics Science Fiction Fiction Science Fiction Time Travel Fantasy
Donna Tartt,the secret history,Fiction Mystery Contemporary,Donna Tartt the secret history Fiction Mystery Contemporary
William Styron,sophie's choice,Fiction Classics Historical Historical Fiction World War II Holocaust War,William Styron sophie's choice Fiction Classics Historical Historical Fiction World War II Holocaust War
Cassandra Clare,city of lost souls,Fantasy Young Adult Fantasy Paranormal Romance,Cassandra Clare city of lost souls Fantasy Young Adult Fantasy Paranormal Romance
Jostein Gaarder مهرداد بازیاری Paulette Møller,sophie's world,Philosophy Fiction Young Adult Classics Novels,Jostein Gaarder مهرداد بازیاری Paulette Møller sophie's world Philosophy Fiction Young Adult Classics Novels
Haruki Murakami Jay Rubin,norwegian wood,Fiction Cultural Japan Asian Literature Japanese Literature Romance Contemporary,Haruki Murakami Jay Rubin norwegian wood Fiction Cultural Japan Asian Literature Japanese Literature Romance Contemporary
Pat Conroy,the prince of tides,Fiction American Southern Classics Contemporary Romance,Pat Conroy the prince of tides Fiction American Southern Classics Contemporary Romance
Jon Stone Michael J. Smollin,the monster at the end of this book,Childrens Picture Books Childrens,Jon Stone Michael J. Smollin the monster at the end of this book Childrens Picture Books Childrens
Charlaine Harris,dead until dark,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Fiction Mystery,Charlaine Harris dead until dark Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Romance Fiction Mystery
Fannie Flagg,fried green tomatoes at the whistle stop cafe,Fiction Historical Historical Fiction Lgbt Classics Womens Fiction Chick Lit American Southern,Fannie Flagg fried green tomatoes at the whistle stop cafe Fiction Historical Historical Fiction Lgbt Classics Womens Fiction Chick Lit American Southern
E.L. James,fifty shades darker,Romance Adult Fiction Erotica Fiction Erotica Bdsm Adult,E.L. James fifty shades darker Romance Adult Fiction Erotica Fiction Erotica Bdsm Adult
Haruki Murakami Philip Gabriel,kafka on the shore,Fiction Magical Realism Cultural Japan Fantasy Asian Literature Japanese Literature Contemporary,Haruki Murakami Philip Gabriel kafka on the shore Fiction Magical Realism Cultural Japan Fantasy Asian Literature Japanese Literature Contemporary
Helen Fielding,bridget jones's diary,Womens Fiction Chick Lit Fiction Romance Humor Contemporary,Helen Fielding bridget jones's diary Womens Fiction Chick Lit Fiction Romance Humor Contemporary
Patrick Rothfuss,the wise man's fear,Fantasy Fiction Fantasy Epic Fantasy,Patrick Rothfuss the wise man's fear Fantasy Fiction Fantasy Epic Fantasy
J.D. Salinger,franny and zooey,Fiction Classics Short Stories Literature,J.D. Salinger franny and zooey Fiction Classics Short Stories Literature
Bryce Courtenay,the power of one,Fiction Historical Historical Fiction Cultural Africa Classics,Bryce Courtenay the power of one Fiction Historical Historical Fiction Cultural Africa Classics
Rainbow Rowell,fangirl,Young Adult Contemporary Romance Fiction,Rainbow Rowell fangirl Young Adult Contemporary Romance Fiction
Chinua Achebe,things fall apart,Fiction Classics Cultural Africa Historical Historical Fiction Academic School Literature,Chinua Achebe things fall apart Fiction Classics Cultural Africa Historical Historical Fiction Academic School Literature
Rick Riordan,the son of neptune,Fantasy Young Adult Fantasy Mythology,Rick Riordan the son of neptune Fantasy Young Adult Fantasy Mythology
George Eliot Michel Faber,middlemarch,Classics Fiction Literature Historical Historical Fiction Literature 19th Century,George Eliot Michel Faber middlemarch Classics Fiction Literature Historical Historical Fiction Literature 19th Century
Anne Frank Eleanor Roosevelt B.M. Mooyaart-Doubleday,the diary of a young girl,Nonfiction Classics History Biography Autobiography Memoir,Anne Frank Eleanor Roosevelt B.M. Mooyaart-Doubleday the diary of a young girl Nonfiction Classics History Biography Autobiography Memoir
C.S. Lewis,the magician's nephew,Fantasy Classics Fiction Young Adult Childrens,C.S. Lewis the magician's nephew Fantasy Classics Fiction Young Adult Childrens
Gillian Flynn,gone girl,Fiction Mystery Thriller Mystery Crime,Gillian Flynn gone girl Fiction Mystery Thriller Mystery Crime
Neil Gaiman,stardust,Fantasy,Neil Gaiman stardust Fantasy
Bill Bryson,a short history of nearly everything,Nonfiction Science History,Bill Bryson a short history of nearly everything Nonfiction Science History
Kazuo Ishiguro,never let me go,Fiction Science Fiction Science Fiction Dystopia,Kazuo Ishiguro never let me go Fiction Science Fiction Science Fiction Dystopia
Virginia Woolf Maureen Howard,mrs. dalloway,Classics Fiction Literature Novels,Virginia Woolf Maureen Howard mrs. dalloway Classics Fiction Literature Novels
John Grisham,a time to kill,Fiction Mystery Thriller Mystery Crime Suspense,John Grisham a time to kill Fiction Mystery Thriller Mystery Crime Suspense
Ann Patchett,bel canto,Fiction Contemporary Literary Fiction Book Club,Ann Patchett bel canto Fiction Contemporary Literary Fiction Book Club
Jonathan Swift Robert DeMaria Jr.,gulliver's travels,Classics Fiction Fantasy Adventure Literature Novels Classics Classic Literature Literature 18th Century Academic School European Literature British Literature,Jonathan Swift Robert DeMaria Jr. gulliver's travels Classics Fiction Fantasy Adventure Literature Novels Classics Classic Literature Literature 18th Century Academic School European Literature British Literature
Jane Austen,the complete novels,Romance Classics Historical Historical Fiction Fiction,Jane Austen the complete novels Romance Classics Historical Historical Fiction Fiction
Charles Frazier,cold mountain,Historical Historical Fiction Fiction Historical Romance Military History Civil War,Charles Frazier cold mountain Historical Historical Fiction Fiction Historical Romance Military History Civil War
E.L. James,fifty shades freed,Adult Fiction Erotica Fiction Erotica Bdsm Adult Contemporary Romance Womens Fiction Chick Lit Romance Contemporary Romance Romance Erotic Romance New Adult,E.L. James fifty shades freed Adult Fiction Erotica Fiction Erotica Bdsm Adult Contemporary Romance Womens Fiction Chick Lit Romance Contemporary Romance Romance Erotic Romance New Adult
Garth Stein,the art of racing in the rain,Fiction Animals Animals Dogs Contemporary Adult Fiction,Garth Stein the art of racing in the rain Fiction Animals Animals Dogs Contemporary Adult Fiction
Gayle Forman,if i stay,Young Adult Romance Contemporary Fiction,Gayle Forman if i stay Young Adult Romance Contemporary Fiction
Robert Munsch Sheila McGraw,love you forever,Childrens Picture Books Childrens,Robert Munsch Sheila McGraw love you forever Childrens Picture Books Childrens
Lois Lowry,number the stars,Historical Historical Fiction Young Adult Fiction Classics Childrens Historical World War II Holocaust,Lois Lowry number the stars Historical Historical Fiction Young Adult Fiction Classics Childrens Historical World War II Holocaust
Marie Lu,legend,Young Adult Romance Fantasy Science Fiction Fiction,Marie Lu legend Young Adult Romance Fantasy Science Fiction Fiction
Anna Sewell,black beauty,Classics Fiction Childrens Animals Young Adult,Anna Sewell black beauty Classics Fiction Childrens Animals Young Adult
Arthur Conan Doyle Anne Perry Maria Buitoni Duca Sidney Paget,the hound of the baskervilles,Classics Mystery Fiction Mystery Crime,Arthur Conan Doyle Anne Perry Maria Buitoni Duca Sidney Paget the hound of the baskervilles Classics Mystery Fiction Mystery Crime
Tim Butcher,blood river: a journey to africa's broken heart,Cultural Africa Travel Nonfiction History Adventure Autobiography Memoir,Tim Butcher blood river: a journey to africa's broken heart Cultural Africa Travel Nonfiction History Adventure Autobiography Memoir
Anonymous,qurʾan / القرآن الكريم,Religion Religion Islam Nonfiction Classics Philosophy,Anonymous qurʾan / القرآن الكريم Religion Religion Islam Nonfiction Classics Philosophy
Veronica Roth,allegiant,Young Adult Science Fiction Dystopia Fiction Science Fiction,Veronica Roth allegiant Young Adult Science Fiction Dystopia Fiction Science Fiction
Roald Dahl Quentin Blake,the witches,Childrens Fantasy Fiction,Roald Dahl Quentin Blake the witches Childrens Fantasy Fiction
James Joyce Seamus Deane,a portrait of the artist as a young man,Classics Fiction Literature European Literature Irish Literature,James Joyce Seamus Deane a portrait of the artist as a young man Classics Fiction Literature European Literature Irish Literature
Rainbow Rowell,eleanor & park,Young Adult Romance Contemporary Fiction,Rainbow Rowell eleanor & park Young Adult Romance Contemporary Fiction
Alan Moore David   Lloyd,v for vendetta,Sequential Art Graphic Novels Sequential Art Comics Fiction Science Fiction Dystopia Science Fiction,Alan Moore David   Lloyd v for vendetta Sequential Art Graphic Novels Sequential Art Comics Fiction Science Fiction Dystopia Science Fiction
Christopher Paolini,eldest,Fantasy Young Adult Fantasy Dragons Fiction,Christopher Paolini eldest Fantasy Young Adult Fantasy Dragons Fiction
Rick Riordan,the mark of athena,Fantasy Young Adult Fantasy Mythology,Rick Riordan the mark of athena Fantasy Young Adult Fantasy Mythology
Stephen King,the gunslinger,Fantasy Fiction Horror Science Fiction,Stephen King the gunslinger Fantasy Fiction Horror Science Fiction
Edgar Allan Poe,the tell-tale heart and other writings,Classics Horror Fiction Short Stories Academic School Fantasy Academic Read For School Poetry Thriller Literature American,Edgar Allan Poe the tell-tale heart and other writings Classics Horror Fiction Short Stories Academic School Fantasy Academic Read For School Poetry Thriller Literature American
Jack London,white fang,Classics Fiction Adventure Animals Young Adult Literature Historical Historical Fiction Childrens Novels Literature American,Jack London white fang Classics Fiction Adventure Animals Young Adult Literature Historical Historical Fiction Childrens Novels Literature American
Philip K. Dick Roger Zelazny,do androids dream of electric sheep?,Science Fiction Fiction Classics Science Fiction Dystopia,Philip K. Dick Roger Zelazny do androids dream of electric sheep? Science Fiction Fiction Classics Science Fiction Dystopia
Kami Garcia Margaret Stohl,beautiful creatures,Young Adult Fantasy Fantasy Paranormal Romance,Kami Garcia Margaret Stohl beautiful creatures Young Adult Fantasy Fantasy Paranormal Romance
J.R. Ward,dark lover,Romance Fantasy Paranormal Paranormal Vampires Romance Paranormal Romance Fantasy,J.R. Ward dark lover Romance Fantasy Paranormal Paranormal Vampires Romance Paranormal Romance Fantasy
John Knowles,a separate peace,Classics Fiction Young Adult Academic School Historical Historical Fiction,John Knowles a separate peace Classics Fiction Young Adult Academic School Historical Historical Fiction
Unknown Seamus Heaney Francis Barton Gummere,beowulf,Classics Poetry Fiction Fantasy Literature Academic School,Unknown Seamus Heaney Francis Barton Gummere beowulf Classics Poetry Fiction Fantasy Literature Academic School
Neil Gaiman Dave McKean Nīls Geimens,the graveyard book,Fantasy Young Adult Fiction Horror Childrens Fantasy Paranormal,Neil Gaiman Dave McKean Nīls Geimens the graveyard book Fantasy Young Adult Fiction Horror Childrens Fantasy Paranormal
Beatrice Sparks Anonymous,go ask alice,Fiction Young Adult Classics Contemporary,Beatrice Sparks Anonymous go ask alice Fiction Young Adult Classics Contemporary
William Faulkner,as i lay dying,Classics Fiction Literature Novels,William Faulkner as i lay dying Classics Fiction Literature Novels
Jane Austen,mansfield park,Classics Fiction Romance,Jane Austen mansfield park Classics Fiction Romance
Michael Chabon,the amazing adventures of kavalier & clay,Fiction Historical Historical Fiction Literature,Michael Chabon the amazing adventures of kavalier & clay Fiction Historical Historical Fiction Literature
Nicholas Sparks,dear john,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks dear john Romance Fiction Womens Fiction Chick Lit Contemporary
Natalie Babbitt,tuck everlasting,Fantasy Young Adult Classics Fiction Childrens,Natalie Babbitt tuck everlasting Fantasy Young Adult Classics Fiction Childrens
Dave Pelzer,"a child called ""it""",Nonfiction Autobiography Memoir Biography Psychology,"Dave Pelzer a child called ""it"" Nonfiction Autobiography Memoir Biography Psychology"
Christopher Paolini,brisingr,Fantasy Young Adult Fantasy Dragons Fiction,Christopher Paolini brisingr Fantasy Young Adult Fantasy Dragons Fiction
Becca Fitzpatrick,crescendo,Young Adult Fantasy Paranormal Angels Fantasy Paranormal Romance Romance Paranormal Romance Fantasy Supernatural Fiction Fantasy Urban Fantasy Young Adult Teen,Becca Fitzpatrick crescendo Young Adult Fantasy Paranormal Angels Fantasy Paranormal Romance Romance Paranormal Romance Fantasy Supernatural Fiction Fantasy Urban Fantasy Young Adult Teen
Willa Cather,my ántonia,Classics Fiction Historical Historical Fiction Literature,Willa Cather my ántonia Classics Fiction Historical Historical Fiction Literature
Suzanne Collins,mockingjay,Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction,Suzanne Collins mockingjay Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction
Nicholas Sparks,the last song,Romance Fiction Womens Fiction Chick Lit Young Adult Contemporary,Nicholas Sparks the last song Romance Fiction Womens Fiction Chick Lit Young Adult Contemporary
Michael Ondaatje,the english patient,Fiction Historical Historical Fiction Classics Romance Historical,Michael Ondaatje the english patient Fiction Historical Historical Fiction Classics Romance Historical
Art Spiegelman,the complete maus,Sequential Art Graphic Novels Sequential Art Comics Nonfiction History Biography,Art Spiegelman the complete maus Sequential Art Graphic Novels Sequential Art Comics Nonfiction History Biography
Jennifer L. Armentrout,obsidian,Young Adult Fantasy Paranormal Romance Fantasy Science Fiction Aliens Science Fiction Romance Paranormal Romance,Jennifer L. Armentrout obsidian Young Adult Fantasy Paranormal Romance Fantasy Science Fiction Aliens Science Fiction Romance Paranormal Romance
Salman Rushdie,midnight's children,Fiction Cultural India Magical Realism Classics Historical Historical Fiction Fantasy Literature,Salman Rushdie midnight's children Fiction Cultural India Magical Realism Classics Historical Historical Fiction Fantasy Literature
Robin A.H. Waterfield John Grisham,the firm,Fiction Thriller Mystery Mystery Crime Suspense Thriller Legal Thriller,Robin A.H. Waterfield John Grisham the firm Fiction Thriller Mystery Mystery Crime Suspense Thriller Legal Thriller
Jerry Spinelli,stargirl,Young Adult Fiction Realistic Fiction Romance Contemporary,Jerry Spinelli stargirl Young Adult Fiction Realistic Fiction Romance Contemporary
Ray Bradbury,the martian chronicles,Science Fiction Fiction Classics Short Stories,Ray Bradbury the martian chronicles Science Fiction Fiction Classics Short Stories
Lao Tzu Gia-Fu Feng Jane English Toinette Lippe Jacob Needleman,tao te ching,Philosophy Nonfiction Religion Classics Spirituality Poetry,Lao Tzu Gia-Fu Feng Jane English Toinette Lippe Jacob Needleman tao te ching Philosophy Nonfiction Religion Classics Spirituality Poetry
Robert Jordan,the eye of the world,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy,Robert Jordan the eye of the world Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy
